013	'nYl-dEr-tin
naartoe	nar-'tu
naast	'nast
nabespreking	'na-b@-spre-kIN
nabootsing	'na-bot-sIN
nac	'nAk
nacht	'nAxt
nachtje	'nAx-tj@
nachts	'nAxts
nachtschema	'nAxt-sxe-ma
nadeel	'na-del
nadenken	'na-dEN-k@
nadia	'na-di-ja
nadoen	'na-dun
nagedacht	'na-G@-dAxt
nah	'na
nam	'nAm
namelijk	'na-m@-l@k
namen	'na-m@
namibië	na-'mi-bi
namibiÃ«	namibi
nana	'na-na
na-na	'na-na
na-naar	na-'nar
nasi	'nA-si
nasynchroniseren	'na-sIn-xro-ni-ser-@n
nat	'nAt
nature	'na-tyr@
natuur	na-'tyr
natuurkunde	na-'tyr-kYn-d@
natuurlijk	na-'tyr-l@k
natuurrampen	na-'ty-rAm-p@
nazi	'na-tsi
nba	Em-be-'a
ne	'n@
ne-	'ne
nede-nederlander	ne-d@-'ne-d@r-lAn-d@r
nederland	'ne-d@r-lAnt
nederlanders	'ne-d@r-lAn-d@rs
nederlands	'ne-d@r-lAnts
nederlandse	'ne-d@r-lAnt-s@
nee	'ne
nee-	'ne
neef	'nef
neefje	'nef-j@
neem	'nem
neemt	'nemt
neen	'nen
neer	'ner
neergezet	'ner-G@-zEt
negatief	ne-Ga-'tif
negatieve	ne-Ga-'ti-v@
negen	'ne-G@
negende	'ne-G@n-d@
negenen	'ne-G@-n@
negenen-	'ne-G@-n@n
negenentwintig	'ne-G@n-En-twIn-t@x
negenhonderd	'ne-G@n-hOn-d@rt
negentien	'ne-G@n-tin
negenzeventig	'ne-G@n-@n-ze-v@n-t@x
neger	'ne-G@r
negeren	n@-'Ge-r@
neiging	'nE+-GIN
nelson	'nEl-sOn
nemen	'ne-m@
neou	'neA+
nep	'nEp
nereus	ne-'rY+s
nergens	'nEr-G@ns
net	'nEt
neten	'ne-t@
netjes	'nEt-j@s
neu	'n2
neuh	'n2
neurotisch	n2-'ro-tis
neus	'n2s
neutraal	n2-'tral
neven	'ne-v@
never	'ne-v@r
new	'njujuw
ni	'ni
ni-	'nI
nice	'nis@
niche	'nI-S@
nichterig	'nIx-t@-r@x
nichtjes	'nIxt-j@s
nick	'nIk
nico	'ni-ko
nie	'ni
nie-	'ni
niemand	'ni-mAnt
niet	'nit
niet-niet	'nit-nit
niet-rationeel	'nit-rA-tsio-nel
niets	'nits
niet-wandelaars	'nit-wan-d@-lars
nieuw	'niw
nieuwe	'ni-w@
nieuwer	'ni-w@r
nieuwjaar	'niw-jar
nieuw-journalisme	'niw-Zur-na-lIs-m@
nieuwkerk	'niw-kErk
nieuws	'niws
nieuwste	'niw-st@
nieuwsuur	'niws-yr
nigeria	ni-'G@-ri-ja
nijmegen	'nE+-me-G@n
niks	'nIks
nils	
nina	'ni-na
nivra	'nI-vra
nizar	ni-'zAr
nja	'njA
nlt	En-El-'te
één-één	'en-en
n-naar	n-'nar
n-nasi	n-'nA-si
n-nee	n-'ne
n-niet	n-'nit
n-nog	n-'nOG
n-normaal	nOr-'mal
n-normen	n-'nOr-m@n
n-nou	n-'nA+
nnu	En-En-'y
n-nu	n-'ny
no	'no
no-	'nO
nodig	'no-d@x
nodigde	'no-d@G-d@
noe-	'nu
noem	'num
noemden	'num-d@
noemen	'nu-m@
noemt	'numt
nog	'nOx
nogal	nOx-'Al
nog-g	'nOG-G
nogmaals	'nOx-mals
nog-nog	'nOG-nOG
nondeju	nOn-d@-'jy
nooit	'nojt
noorden	'nor-d@
nopjes	'nOp-j@s
normaal	nOr-'mal
normale	nOr-'ma-l@
north	'nort
nos	En-o-'Es
nou	'nA+
novem-	'no-vEm
november	no-'vEm-b@r
novi	'no-vi
nrc	En-Er-'se
nrcnext	En-Er-Se-'nEkst
ns	En-'Es
-ns	'ns
nsn	En-Es-'En
nu	'ny
nuance	ny-'wAn-s@
nuchterder	'nYx-t@r-d@r
nuh	'n2
nul	'nYl
num-	'nYm
nummer	'nY-m@r
nummers	'nY-m@rs
nut	'nYt
nutteloze	'nY-t@-lo-z@
nuttig	'nY-t@x
nuttige	'nY-t@-G@
nyenrode	'nE+-@n-ro-d@
o	'o
o-	'o
o-a-alsof	o-A-Als-'Of
obama	o-'ba-ma
obsessief	Op-sE-'sif
och	'Ox
ochtend	'Ox-t@nt
ochtends	'Ox-t@nts
oe	'u
oefen	'u-f@
oefenen	'u-f@-n@
oefening	'u-f@-nIN
oefeningen	'u-f@-nI-N@
oehoe	'u-hu
of	'Of
offers	'O-f@rs
officiÃ«le	O-fi-'Se-l@
of-of	'Of-Of
ogen	'o-G@
oh	'o
ojojoj	'Oj-Oj-Oj
ok	'ok
ok-	'Ok
oké	'o-ke
okÃ©	oke
ok-oktober	Ok-Ok-'to-b@r
oktober	Ok-'to-b@r
oktoberfeest	Ok-'to-b@r-fest
oktoberfest	Ok-'to-b@r-fEst
old	'Olt
oliver	'o-lAj-v@r
olive's	'O-lIf
olop	'O-lOp
om	'Om
om-	'Om
oma	'o-ma
omafiets	'o-ma-fIts
oma's	'o-mas
omdat	Om-'dAt
omgeving	Om-'Ge-vIN
omgooien	'Om-Go-j@
omheen	Om-'hen
omhoog	Om-'hox
omhoop	Om-'hop
omkleden	'Om-kle-d@
om-m	'Om-m
om-om	'Om-Om
omroep	'Om-rup
omroepen	'Om-ru-p@
omroepenwereld	'Om-ru-p@n-we-r@lt
omwonenden	Om-'wo-n@n-d@
omzet	Om-'zEt
on	'On
on-	'On
onafhankelijk	On-Af-'hAN-k@-l@k
onbelangrijk	Om-b@-'lAN-rE+k
onbeperkt	Om-b@-'pErkt
onbewust	Om-b@-'wYst
onder	'On-d@r
onderaf	On-d@r-'Af
onderbreking	On-d@r-'bre-kIN
ondergoed	'On-d@r-Gut
ondergoed-	'On-d@r-Gut
ondergronds	On-d@r-'GrOnts
onderin	On-d@r-'In
onderkant	'On-d@r-kAnt
onderscheid	On-d@r-'sxE+t
ondersteboven	On-d@r-st@-'bo-v@
ondertussen	On-d@r-'tY-s@
onderverhuren	'On-d@r-v@r-hy-r@
onderwerp	'On-d@r-wErp
onderwerpen	'On-d@r-wEr-p@
onderwijs	On-d@r-'wE+s
onderwijsblo-	'On-d@r-wE+s-blO
onderwijssysteem	'On-d@r-wE+-sis-tem
onderzoek	On-d@r-'zuk
onderzoeken	On-d@r-'zu-k@
onderzoeker	On-d@r-'zu-k@r
onderzoekers	On-d@r-'zu-k@rs
onderzoeksprofiel	'On-d@r-zuks-pro-fil
one	'O-n@
ongeacht	'ON-G@-Axt
ongemakkelijk	ON-G@-'mA-k@-l@k
ongeschreven	ON-G@-'sxre-v@
ongeveer	ON-G@-'ver
onhandig	On-'hAn-d@x
onkruid	'ON-krY+t
online	On-'lAj-n@
onno	O-'no
on-onder	On-'Ond@r
onopvallen-	'On-Op-vA-l@n
onopvallend	On-Op-'fA-l@nt
onrecht	'On-rExt
onrechtvaardigheid	On-rExt-'far-d@x-hE+t
ons	'Ons
ons-ons	'Ons-Ons
onszelf	On-'zElf
ontdekt	On-'dEkt
onterecht	'On-t@-rExt
onthoud	Ont-'hA+t
onthouden	Ont-'hA+-d@
ontslagen	Ont-'sla-G@
ontstaan	Ont-'stan
ontvreemd	Ont-'fremt
ontwikkeling	Ont-'wI-k@-lIN
ontwikkelingssamenwerking	Ont-'wI-k@-lIN-sa-m@n-wEr-kIN
ontzettend	Ont-'sE-t@nt
onvoldoende	'On-vOl-dun-d@
onze	'On-z@
onzin	'On-zIn
onzinnummers	'On-zIn-nY-m@rs
o-o-	'O-O
o-of	O-'Of
ooghoeken	'ox-hu-k@
ooit	'ojt
ook	'ok
o-oké	o-'o-ke
o-okÃ©	ooke
ook-ook	'ok-ok
oom	'om
o-om	o-'om
ooms	'oms
o-ontzettend	O-'Ont-zEt-@nt
o-ook	o-'ok
o-op	O-'Op
o-orderpicken	'or-d@r-pI-k@n
oor-oortjes	or-'or-tj@s
oost	'ost
oosterbeek	'os-t@r-bek
op	'Op
opa	'o-pa
opbouwen	'O-bA+-w@
opbouwend	'O-bA+-w@nt
opbreekt	'Op-brekt
opdagen	'Ob-da-G@
opdracht	'Ob-drAxt
opdrachten	'Ob-drAx-t@
opdrachtjes	'Ob-drAxt-j@s
opdringerig	Ob-'drI-N@-r@x
opeens	Op-'ens
open	'o-p@
opfokken	'Op-fO-k@n
opge-	'Op-G@
opgebouwd	'Op-x@-bA+wt
opgebroken	'Op-x@-bro-k@
opgedaan	'Op-x@-dan
opgefokte	'Op-x@-fOk-t@
opgegaan	'Op-x@-Gan
opgegeven	'Op-x@-Ge-v@
opgegooid	'Op-x@-Gojt
opgehangen	'Op-x@-hA-N@
opgekomen	'Op-x@-ko-m@
opgeleverd	'Op-x@-le-v@rt
opgelo-	'Op-G@-lO
opgenomen	'Op-x@-no-m@
opgericht	'Op-x@-rIxt
opgeruimd	'Op-x@-rY+mt
opgeschreven	'Op-x@-sxre-v@
opgestaan	'Op-x@-stan
opgestroopt	'Op-x@-stropt
opgevoed	'Op-x@-vut
opgevreten	'Op-x@-vre-t@
opgezet	'Op-x@-zEt
opgezocht	'Op-x@-zOxt
opgezweld	'Op-G@-zwElt
opgezwollen	'Op-x@-zwO-l@
ophangen	'Op-hA-N@
opium	'o-pi-jYm
oplawaai	'Op-lA-waj
oplee	'Op-le
opletten	'Op-lE-t@
opleveren	'Op-le-v@-r@
opn-	'Op-n
opnames	'Op-na-m@s
opnemen	'Op-ne-m@
opnieuw	Op-'niw
op-op	'Op-Op
oporto	'A-pO-t@
op-p	'Op-p
oppakken	'O-pA-k@
oppervlakte	'O-p@r-vlAk-t@
opposites	'O-po-sIts
oprecht	Op-'rExt
opricht	'Op-rIxt
oprisping	'Op-rIs-pIN
oproept	'Op-rupt
opruimen	'Op-rY+-m@
opscheppen	'Op-sxE-p@
opschieten	'Op-sxi-t@
opschrijven	'Op-sxrE+-v@
opslaan	'Op-slan
opsporen	'Op-spo-r@
opstaan	'Op-stan
opstelling	'Op-stE-lIN
opsturen	'Op-sty-r@
optie	'Op-si
opties	'Op-sis
optre-	'Op-tre
optreden	'Op-tre-d@
optredens	'Op-tre-d@ns
optreedt	'Op-tret
opv-	'Opv
opvallend	'Op-fA-l@nt
opzij	Op-'sE+
opzoeken	'Op-su-k@
oranje	o-'rA-J@
oranjepop	O-'rA-J@-pOp
order	'Or-d@r
orderpickbedrijf	'Or-d@r-pIk-b@-drE+f
orderpicken	'Or-d@r-pI-k@n
oren	'o-r@
organisatie	Or-Ga-ni-'za-tsi
oriÃ«nterend	o-ri-jEn-'te-r@nt
origineel	o-ri-Zi-'nel
orka	'Or-ka
ortho-	'Or-to
orthodox	Or-to-'dOks
orthodox-	'Or-to-dOks
orthodoxe	Or-to-'dOk-s@
oss	'Os
ou	'A+
oubeid	'A+-bE+t
oud	'A+t
oud-bestuur	'A+t-b@-styr
ouder	'A+-d@r
ouderdag	'A+-d@r-dAx
ouderen	'A+-d@-r@
ouders	'A+-d@rs
ouderwets	A+-d@r-'wEts
oudsher	A+ts-'hEr
out	'A+t
outfit	'A+t-fIt
ouwe	'A+-w@
ouwehoeren	A+-w@-'hu-r@
ov	o-'ve
over	'o-v@r
overal	'o-v@r-Al
overboord	o-v@r-'bort
overdag	o-v@r-'dAx
over-de-top-oktoberfeest	o-v@r-d@-tOp-Ok-'to-b@r-fest
overgeladen	'o-v@r-G@-la-d@
overgenomen	'o-v@r-G@-no-m@
overgeslagen	'o-v@r-G@-sla-G@
overgrote	'o-v@r-Gro-t@
overheen	o-v@r-'hen
overheid	'o-v@r-hE+t
overhoop	o-v@r-'hop
overigens	'o-v@-r@-G@ns
overkant	'o-v@r-kAnt
overleden	o-v@r-'le-d@
overleggen	o-v@r-'lE-G@
overlegorgaan	o-v@r-'lEx-Or-Gan
overlijdens	o-v@r-'lE+-d@ns
overlijdens-	'o-v@r-lE+-d@ns
overlijdensadvertenties	o-v@r-'lE+-d@s-At-f@r-tEn-sis
overmorgen	'o-v@r-mOr-G@
overneemt	'o-v@r-nemt
overnemen	'o-v@r-ne-m@
overnieuw	o-v@r-'niw
overspoeld	o-v@r-'spult
oversteken	'o-v@r-ste-k@
overstroming	o-v@r-'stro-mIN
overtreffen	o-v@r-'trE-f@
overtuigd	o-v@r-'tY+xt
overval	'o-v@r-vAl
overwogen	o-v@r-'wo-G@
overzichtelijk	o-v@r-'zIx-t@-l@k
ow	'ow
p	'pe
p-	'p
pa	'pa
paal	'pal
paar	'par
paarden	'par-d@
paars	'pars
pak	'pAk
pakken	'pA-k@
pakket	pA-'kEt
pakt	'pAkt
pan	'pAn
pand	'pAnt
paniek	pa-'nik
pannensets	'pA-n@n-sEts
pantalon	pAn-ta-'lOn
paparazzi	pA-pa-'rAd-zi
paper	'pa-p@r
papers	'pa-p@rs
papier	pa-'pir
papiertje	pa-'pir-tj@
paprikapoeder	'pa-prI-ka-pu-d@r
par	'pAr
par-	'pAr
paracetamolgeloof	pa-ra-se-ta-'mOl-G@-lof
parallel	pa-rA-'lEl
parcours	pAr-'kur
parel	'pa-r@l
parijs	pa-'rE+s
park	'pArk
parool	pa-'rol
participanten	pAr-ti-si-'pAn-t@
partij	pAr-'tE+
partij-	pAr-'tE+
partijen	pAr-'tE+-j@
partijleider	pAr-'tE+-lE+-d@r
partijprogramma	pAr-'tE+-pro-GrA-ma
partner	'pArt-n@r
party	'pAr-ti
pas	'pAs
passen	'pA:-s@
past	'pAst
patho	pA-'to
patricia	pA-'tri-si-ja
patserig	'pAt-s@-r@x
pau	'po
pau-	'pA+
paul	'pA+l
paulaantje	pA+-'lan-tj@
paulaner	pA+-'la-n@r
pauperstad	'pA+-p@r-stAt
paus	'pA+s
pauw	'pA+w
pauze	'pA+-z@
pauzetijd	'pA+-z@-tE+t
pe	'p@
pe-	'pe
pech	'pEx
pedagogische	pe-da-'Go-Gi-s@
pedofiel	pe-do-'fil
pedofiliteit	pe-do-fI-lI-'tE+t
penningmeester	'pE-nIN-mes-t@r
per	'pEr
peranoia	pE-rA-'nO-ja
perception	pEr-'sEp-sj@n
perfect	pEr-'fEkt
performance	p@r-'fOr-m@ns
persie	'pEr-zi
personalisering	pEr-so-na-lI-'se-rIN
personen	p@r-'so-n@
personificatie	pEr-so-ni-fi-'ka-tsi
persoon	p@r-'son
perz-perzische	pErz-'pEr-zi-s@
pest	'pEst
pet	'pEt
peter	'pe-t@r
peters	'pe-t@rs
petje	'p@t-j@
pf	'pf
pff	'pf
pickorder	'pIk-or-d@r
piet	'pit
pieter	'pi-t@r
pietje	'pit-j@
piew	'piw
piew-piew-piew	'piw-piw-piw
pijn	'pE+n
pil	'pIl
pils	'pIls
pim	'pIm
piraat	pi-'rat
pisang	'pI-sAN
pitten	'pI-t@
pixels	'pIk-s@ls
pizza	'pi-tsa
plaatje	'plat-j@
plaatjes	'plat-j@s
plaats	'plats
plaatsen	'plat-s@
plan	'plEn
planck	'plAnsk
planckonderzoekjes	'plAnk-On-d@r-zuk-j@s
planet	pla-'nEt
planken	'plAN-k@
plannen	'plE-n@
planning	'plE-nIN
plant	'plEnt
plantenbakkie	'plAn-t@n-bA-kI
plantje	'plAnt-j@
plantjes	'plAnt-j@s
plat	'plAt
platform	'plAt-fOrm
plato	'pla-to
platter	'plA-t@r
plausibel	plA+-'si-b@l
plein	'plE~
pleinen	'plE+-n@
plek	'plEk
plekken	'plE-k@
plezier	pl@-'zir
ploep	'plup
plus	'plYs
po	'po
po-	'pO
podium	'po-di-jYm
poe	'pu
poef	'puf
poeh	'pu
poel	'pul
poetin	'pu-tE:
poetsen	'put-s@
pokeren	'po-k@-r@
pokersets	'po-k@r-sEts
pokerta-	'po-k@r-ta
pokkenwerk	'pO-k@n-wErk
pol	'pOl
pol-	'pOl
politiebureau	po-'li-tsi-by-ro
politiek	po-li-'tik
polonaise	po-lo-'nE:-s@
pool	'pul
poolen	'pu-l@
poosje	'po-S@
popeye	'pop-eije
poppetje	'pO-p@-tj@
poppetjes	'pO-p@-tj@s
poppodium	'pO-po-di-um
poppodiumachtig	'pO-po-di-um-Ax-tix
popronde	'pOp-rOn-d@
populatie	po-py-'la-tsi
populisten	po-py-'lIs-t@
populistisch	pO-py-'lIs-tis
popzaal	'pOp-zal
porno	'pOr-no
pornocollectie	'pOr-no-kO-lEk-si
pornofi-	'pOr-no-fI
positie	po-'zi-tsi
positieve	po-zi-'ti-v@
posten	'pOs-t@
poster	'pos-t@r
posterpresentatie	'pos-t@r-pre-s@n-tat-si
postmodernisme	pOst-mo-dEr-'nIs-m@
poten	'po-t@
potje	'pOt-j@
potjes	'pOt-j@s
p-probleem	p-prO-'blem
p-psycholinguÃ¯stisch	ppsIxolINgwIstIxs
p-psycholinguïstisch	p-psI-xo-lIN-'gwIs-tIxs
pr	'pe-Er
praat	'prat
praatte	'pra-t@
prachtig	'prAx-t@x
practica	'prAk-ti-ka
pragmatisch	prAG-'ma-tis
pragmatisme	prAG-ma-'tIs-m@
praktisch	'prAk-tis
praktische	'prAk-ti-s@
praten	'pra-t@
prec-	'prEs
precies	pr@-'sis
precieze	pr@-'si-z@
premium	'pri-mi-Ym
presentaties	pre-zEn-'ta-tsis
presentatievaardigheden	pre-s@n-tat-si-'var-dIG-he-d@n
presentator	pre-zEn-'ta-tOr
presenteert	pr@-zEn-'tert
presenteren	pr@-zEn-'te-r@
pri-	'pri
priapia	pri-'a-pi-a
prices	'prAj-sEs
priester	'pris-t@r
prijs	'prE+s
prijsje	'prE+-S@
prijzen	'prE+-z@
prijzig	'prE+-z@x
prikbord	'prIg-bOrt
prikkel	'prI-k@l
prikkelen	'prI-k@-l@
prima	'pri-ma
princ-	'prIns
princip-	'prIn-sip
principe	prIn-'si-p@
principes	prIn-'si-p@s
principieel	prIn-si-'pjel
prins	'prIns
prioriteiten	pri-jo-ri-'tE+-t@
pripriapia	pri-pri-'a-pi-a
pr-man	pe-'Er-mAn
probeer	pro-'ber
probeert	pro-'bert
proberen	pro-'be-r@
probleem	pro-'blem
problemen	pro-'ble-m@
procent	pro-'sEnt
proces	pro-'sEs
processen	pro-'sE-s@
producten	pro-'dYk-t@
proef	'pruf
proefdraaien	'pruv-dra-j@
proefje	'pruf-j@
proefjes	'pruf-j@s
proefpersonen	'pruf-p@r-so-n@
proefpersonenpool	'pruf-pEr-so-n@n-pul
proefpersoonnuren	'pruf-pEr-son-y-r@n
proefpersoonuren	'pruf-p@r-son-y-r@n
proeven	'pru-v@
profielschets	pro-'fil-sxEts
profielstage	prO-'fil-sta-Z@
programma	pro-'GrA-ma
programma's	pro-'GrA-mas
programmeur	pro-GrA-'m2r
project	pro-'jEkt
projectjes	pro-'jEkt-j@s
propedeuse	pro-p@-'d2-s@
proppen	'prO-p@
protocol	pro-to-'kOl
p-ruyter	p-'rY+-t@r
psycho	'psi-o
psycholinguÃ¯stic	psIxolINgwIstIk
psycholinguïstic	'psI-xo-lIN-gwIs-tIk
psychologie	psi-xo-lo-'Gi
psychologisch	psi-xo-'lo-Gis
psychologische	psi-xo-'lo-Gi-s@
psychopaat	psi-xo-'pat
ptuup	p-'typ
pubkwis	'pYb-kwIs
publicatie	py-bli-'ka-tsi
publicatietje	pY-blI-'ka-tsi-tj@
publiceren	py-bli-'se-r@
puinhoop	'pY+n-hop
punt	'pYnt
punten	'pYn-t@
puntje	'pYnt-j@
pure	'py-r@
pushbericht	'pYS-b@-rIxt
pushberichten	'pYS-b@-rIx-t@n
puur	'pyr
puzzels	'pY-z@ls
puzzeltjes	'pY-z@l-tj@s
pvda	p-v-d-'a
pvv	pe-ve-'ve
pvv'er	pe-ve-'ve-@r
pvv'ers	pe-ve-'ve-@rs
pwc	pe-we-'se
pyjamaparty	pi-'ja-ma-pAr-ti
q	'k
q-	'kY
qua	'kwa
quality	'kwa-lI-ti
quasi	'kwa-zi
question	'kwEs-tj@n
questions	'kwEs-tjYns
r	'r
r-	'r
raam	'ram
raar	'rar
raarder	'rar-d@r
raars	'rars
rachel	rA-'x@l
racket	'rE-k@t
radboud	'rAd-bA+t
radicale	ra-di-'ka-l@
radicaliseert	rA-di-ka-li-'sert
radio	'ra-di-jo
rage	'ra-Z@
rai	'rj
raken	'ra-k@
rammen	'rA-m@
ramp	'rAmp
randdebiel	'rAn-d@-bil
random	'rEn-dOm
rapteksten	'rEp-tEks-t@n
raquel	rA-'kEl
rare	'ra-r@
rattige	'rA-t@-G@
re	're
reactie	re-'jAk-si
reactietijd	're-Ak-si-tE+t
reactievermogen	re-'jAk-si-v@r-mo-G@
reageert	re-ja-'Gert
reageren	re-ja-'Ge-r@
realement	rI-'A-l@-mEnt
realisme	re-ja-'lIs-m@
realistisch	re-ja-'lIs-tis
realistische	re-ja-'lIs-ti-s@
rechten	'rEx-t@
rechties	'rEx-tis
rechts	'rExts
rechtse	'rExt-s@
rechtvaardig	rExt-'far-d@x
rechtvaardig-	rExt-'var-d@x
rechtvaardiging	rExt-'far-d@-GIN
reclame	r@-'kla-m@
reconstr-	're-KOn-str
reconstructie	re-kOn-'strYk-si
redde	'rE-d@
redden	'rE-d@
redelijk	're-d@-l@k
redelijkheid	're-d@-l@k-hE+t
reden	're-d@
redenen	're-d@-n@
redeneren	re-d@-'ne-r@
reepjes	'rep-j@s
referentie	re-f@-'rEn-si
reg	'rEx
regel	're-G@l
regelen	're-G@-l@
regelmatig	re-G@l-'ma-t@x
regels	're-G@ls
regelt	're-G@lt
regen	're-G@
regenachtig	're-G@n-Ax-t@x
regende	're-G@n-d@
reggae	'rE-ge
regio	're-Gi-jo
regio-	're-Gi-o
regionale	re-Gi-jo-'na-l@
regio's	're-Gi-jos
reikt	'rE+kt
reizen	'rE+-z@
reizende	'rE+-z@n-d@
rek	'rEk
rekenen	're-k@-n@
rekening	're-k@-nIN
rekeningnummer	're-k@-nIN-nY-m@r
relax	ri-'lEks
relaxed	ri-'lEkst
relaxt	ri-'lEkst
relaxte	ri-'lEkst@
relaxter	ri-'lEk-st@r
remixen	're-mIk-s@n
ren	'rEn
rené	re-'n@
renÃ©	ren@
reünistendag	re-Y-'nIs-t@n-dAG
rennen	'rE-n@
repet-	're-p@t
repetitie	re-p@-'ti-tsi
repetities	re-p@-'ti-tsis
replica's	're-pli-kas
representatief	re-pre-sEn-ta-'tif
representatievaardigheden	're-pre-sEn-ta-tsi-var-dIG-he-d@n
representeren	re-pre-sEn-'te-r@
rereldoorlog	're-r@ld-or-lOG
researcher	'ri-s@r-tS@r
resident	re-zi-'dEnt
respectabele	rEs-pEk-'ta-b@-l@
rest	'rEst
restaurant	rEs-to-'rAnt
retourbon	r@-'tur-bOn
retro	're-tro
reÃŒnistendag	reYnIst@ndAG
rianne	ri-'jA-n@
rib	'rIp
richting	'rIx-tIN
richtingen	'rIx-tI-N@
ricky	'rI-ki
riep	'rip
rij	'rE+
rijden	'rE+-d@
rijdt	'rE+t
rijenr-	'rE+-@n-r
rijpen	'rE+-p@
rik	'rIk
rings	'rINs
risico	'ri-zi-ko
ritme	'rIt-m@
rob	'rOp
robert	'ro-bE:rt
robin	'ro-bin
roda	'ro-da
roddels	'rO-d@ls
roeien	'ru-j@
roeit	'rujt
roel	'rul
roepen	'ru-p@
roept	'rupt
roermond	rur-'mOnt
roesten	'rus-t@
rogier	ro-'Gir
rol	'rOl
rolcontainers	'rOl-kOn-te-n@rs
rollen	'rO-l@
romantisch-komisch	rO-'mAn-tis-ko-mis
rommel	'rO-m@l
ron	'rOn
rond	'rOnt
ronde	'rOn-d@
rondes	'rOn-d@s
rondje	'rOn-tj@
rondjes	'rOn-tj@s
rondlopen	'rOnd-lo-p@
rood	'rot
roodharige	'rot-ha-r@-G@
rooie	'ro-j@
roosendaal	'ro-z@-dal
roosje	'ros-j@
rooster	'ros-t@r
roosters	'ros-t@rs
rosa	'ro-sa
rose	'ro-z@
rÃ¶sti	rYstI
rotonde	ro-'tOn-d@
rotterdam	'rO-t@r-dAm
rotzooi	'rOt-soj
rouleren	ru-'le-r@
rousseau	ru-se-'jo
route	'ru-t@
routes	'ru-t@s
routine	ru-'ti-n@
rösti	'rYs-tI
rtl4	Er-te-El-'vir
rug	'rYx
ruig	'rY+x
ruim	'rY+m
ruimen	'rY+-m@
ruimte	'rY+m-t@
ruis	'rY+s
ruk	'rYk
rum	'rYm
rusland	'rYs-lAnt
russische	'rY-si-s@
rust	'rYst
rustig	'rYs-t@x
rustiger	'rYs-t@-G@r
ruyter	'rYi-t@r
s	'Es
s-	's
sa	'sa
sa-	'sA
saai	'saj
saaie	'sa-j@
saaiste	'saj-st@
sabbels	'sA-b@ls
sad	'sAd
sad-	'sAt
salade	sa-'la-d@
salaris	sa-'la-r@s
salto	'sAl-to
sam	'sam
samen	'sa-m@
samena	'sA-me-na
samengevat	'sa-m@-G@-vAt
samenleving	'sa-m@n-le-vIN
samenstel	'sa-m@n-stEl
samenvatting	'sa-m@n-vA-tIN
samenwerken	'sa-m@n-wEr-k@
samenwonen	'sa-m@n-wo-n@
sammie	'sA-mi
sammy	'sa-mi
samson	'sam-sO:n
san	'sAn
sander	'sAn-d@r
sanne	'sA-n@
satan	'sa-tAn
satÃ©saus	sat@sA+s
satésaus	sa-'t@-sA+s
sauna	'sA+-na
sbs6	Es-be-Es-'Es
scan	'skEn
scannen	'skE-n@
scant	'skEnt
scene	'sin
scha	'sxa
scha-	'sxa
schaakbord	'sxag-bOrt
schaamde	'sxam-d@
schaap	'sxap
schaar	'sxar
schaatsuitslagen	'sxats-Y+t-sla-G@n
schadelijk	'sxa-d@-l@k
schaffen	'sxA-f@
schaken	'sxa-k@
schalen	'sxa-l@
schandalig	sxAn-'da-l@x
schapen	'sxa-p@
schat	'sxAt
scheef	'sxef
scheelt	'sxelt
scheet	'sxet
scheiding	'sxE+-dIN
scheikunde	'sxE+-kYn-d@
scheldens	'sxEl-d@ns
scheldwoorden	'sxEld-wor-d@
scherm	'sxErm
schermen	'sxEr-m@
scheurt	'sx2rt
schiermonnikoog	sxir-mO-n@k-'ox
schiet	'sxit
schieten	'sxi-t@
schig	'sxIG
schijf	'sxE+f
schijnbaar	'sxE+m-bar
schijnheilig	sxE+n-'hE+-l@x
schijnt	'sxE+nt
schijtchristelijke	'sxE+t-krIs-t@-lE+-k@
schijthekel	'sxE+-te-k@l
schijttaakjes	'sxE+t-tak-j@s
schijtwerk	'sxE+t-wErk
schild	'sxIlt
schilderij	sxIl-d@-'rE+
schilderijtjes	sxIl-d@-'rE+-tj@s
schizofreen	sxi-tso-'fren
schoen	'sxun
schoenen	'sxu-n@
schoenpoetser	'sxun-put-s@r
schok	'sxOk
schokken	'sxO-k@
school	'sxol
schooljaar	'sxol-jar
schoon	'sxon
schoonmaakmiddel	'sxon-mak-mI-d@l
schoonmaken	'sxon-ma-k@
schoppen	'sxO-p@
schot	'sxOt
schotse	'sxOt-s@
schouder	'sxA+-d@r
schraven	'sxra-v@
schreef	'sxref
schrijven	'sxrE+-v@
schrijver	'sxrE+-v@r
schrikken	'sxrI-k@
schrobber	'sxrO-b@r
schroevendraaier	'sxru-v@-dra-j@r
schrok	'sxrOk
schudden	'sxY-d@
schuiven	'sxY+-v@
schuur	'sxyr
schuurpapier	'sxyr-pa-pir
schuurt	'sxyrt
scientology	sA-j@n-'tO-lO-gi
scientologykerk	sA-j@n-'tO-lO-gi-kErk
scouting	'skA+-tIN
scriptie	'skrIp-si
se	's@
se-	'se
sea	'si
secretariaat	se-kr@-ta-ri-'jat
secretarisdingen	se-kr@-'ta-rIs-dI-N@n
sector	'sEk-tOr
seinfeld	'sAjn-fElt
seizoen	sE+-'zun
sek-	'sEk
seks	'sEks
seksleven	'sEks-le-v@
seksuele	sEk-sy-'we-l@
selectie	s@-'lEk-si
senior	'se-ni-jOr
sensortje	'sEn-sOr-tj@
september	sEp-'tEm-b@r
seri-	'se-ri
